bulk0,bulk1,bulk2,bulk3,client_bulks,client_bulksize_avg,client_bulksize_dev,client_bytes,client_packet0,client_packet1,client_packets,client_packetsize_avg,client_packetsize_dev,client_payload,is_tcp,proto,server_bulks,server_bulksize_avg,server_bulksize_dev,server_bytes,server_packet0,server_packet1,server_packets,server_packetsize_avg,server_packetsize_dev,server_payload,subproto
249,227,0,0,1,249.0,0.0,345,281,32,3,115.0,117.37972567696688,249,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
249,227,0,0,1,249.0,0.0,345,281,32,3,115.0,117.37972567696688,249,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
249,227,0,0,1,249.0,0.0,345,281,32,3,115.0,117.37972567696688,249,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
249,227,0,0,1,249.0,0.0,345,281,32,3,115.0,117.37972567696688,249,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
249,227,0,0,1,249.0,0.0,345,281,32,3,115.0,117.37972567696688,249,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
249,227,0,0,1,249.0,0.0,345,281,32,3,115.0,117.37972567696688,249,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
249,227,0,0,1,249.0,0.0,345,281,32,3,115.0,117.37972567696688,249,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
249,227,0,0,1,249.0,0.0,345,281,32,3,115.0,117.37972567696688,249,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
249,227,0,0,1,249.0,0.0,345,281,32,3,115.0,117.37972567696688,249,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
249,227,0,0,1,249.0,0.0,345,281,32,3,115.0,117.37972567696688,249,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
