bulk0,bulk1,bulk2,bulk3,client_bulks,client_bulksize_avg,client_bulksize_dev,client_bytes,client_packet0,client_packet1,client_packets,client_packetsize_avg,client_packetsize_dev,client_payload,is_tcp,proto,server_bulks,server_bulksize_avg,server_bulksize_dev,server_bytes,server_packet0,server_packet1,server_packets,server_packetsize_avg,server_packetsize_dev,server_payload,subproto
517,141,446,441,10,380.3,131.8036797665376,4163,537,71,18,231.27777777777777,207.5494065827207,3803,1,SSL,10,367.5,143.44493717102742,4083,20,161,18,226.83333333333334,209.08032746610414,3675,
224,5239,618,602,3,281.0,255.09344693007435,963,244,20,6,160.5,177.79927821375804,843,1,SSL,2,2920.5,2318.5,6033,20,1480,9,670.3333333333334,624.6175718878801,5841,
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
41,92,0,0,1,41.0,0.0,49,49,0,1,49.0,0.0,41,0,DNS,1,92.0,0.0,100,100,0,1,100.0,0.0,92,
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
29,80,0,0,1,29.0,0.0,37,37,0,1,37.0,0.0,29,0,DNS,1,80.0,0.0,88,88,0,1,88.0,0.0,80,
48,48,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,1,48.0,0.0,56,56,0,1,56.0,0.0,48,
42,105,0,0,1,42.0,0.0,50,50,0,1,50.0,0.0,42,0,DNS,1,105.0,0.0,113,113,0,1,113.0,0.0,105,
66,0,0,0,1,66.0,0.0,82,41,41,2,41.0,0.0,66,0,LLMNR,0,,,0,0,0,0,,,0,
0,0,0,0,0,,,20,20,0,1,20.0,0.0,0,1,Unknown,0,,,40,20,20,2,20.0,0.0,0,
50,178,0,0,1,50.0,0.0,58,58,0,1,58.0,0.0,50,0,DNS,1,178.0,0.0,186,186,0,1,186.0,0.0,178,
207,1179,171,282,2,189.0,18.0,458,227,154,4,114.5,81.3218912716619,378,1,SSL,2,730.5,448.5,1601,20,1199,7,228.71428571428572,407.8923927724475,1461,
196,6374,1238,29645,3,479.6666666666667,541.8624261645099,1799,216,20,18,99.94444444444444,255.58222686908033,1439,1,SSL,3,12016.666666666666,12731.2480229639,36830,20,1430,36,1023.0555555555555,612.5999666469158,36050,
38,90,0,0,1,38.0,0.0,46,46,0,1,46.0,0.0,38,0,DNS,1,90.0,0.0,98,98,0,1,98.0,0.0,90,Google
48,48,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,1,48.0,0.0,56,56,0,1,56.0,0.0,48,
180,4578,126,242,3,152.0,22.090722034374522,596,200,20,7,85.14285714285714,76.59807638656763,456,1,SSL,3,2284.0,1779.1106392427275,7052,20,1480,10,705.2,605.5836523553126,6852,
