bulk0,bulk1,bulk2,bulk3,client_bulks,client_bulksize_avg,client_bulksize_dev,client_bytes,client_packet0,client_packet1,client_packets,client_packetsize_avg,client_packetsize_dev,client_payload,is_tcp,proto,server_bulks,server_bulksize_avg,server_bulksize_dev,server_bytes,server_packet0,server_packet1,server_packets,server_packetsize_avg,server_packetsize_dev,server_payload,subproto
461,6893,445,91210,8,422.625,57.3714595857557,8309,493,32,154,53.95454545454545,94.69701108224206,3381,1,HTTP,8,29181.375,31440.316195680585,239371,32,1480,185,1293.8972972972972,469.125241438635,233451,eBay
360,88346,380,104349,2,370.0,10.0,4900,392,32,130,37.69230769230769,45.55535029860271,740,1,HTTP,2,96347.5,8001.5,197495,32,1480,150,1316.6333333333334,457.006089188706,192695,Ookla
360,88346,380,104349,2,370.0,10.0,4644,392,32,122,38.0655737704918,47.00117502976904,740,1,HTTP,2,96347.5,8001.5,197495,32,1480,150,1316.6333333333334,457.006089188706,192695,Ookla
360,88346,380,104349,2,370.0,10.0,4612,392,32,121,38.11570247933884,47.19174708676893,740,1,HTTP,2,96347.5,8001.5,197495,32,1480,150,1316.6333333333334,457.006089188706,192695,Ookla
360,88346,380,104349,2,370.0,10.0,4676,392,32,123,38.016260162601625,46.81289234899565,740,1,HTTP,2,96347.5,8001.5,197367,32,1480,146,1351.8287671232877,410.0300750678221,192695,Ookla
360,88346,380,104349,2,370.0,10.0,4420,392,32,115,38.43478260869565,48.38597181447327,740,1,HTTP,2,96347.5,8001.5,197495,32,1480,150,1316.6333333333334,457.006089188706,192695,Ookla
196,5657,638,319,8,231.25,261.15261342747465,5050,228,32,100,50.5,50.439369544037724,1850,1,SSL,8,20122.75,42878.58066607965,165202,32,1480,130,1270.7846153846153,485.8312461784581,160982,
206,4942,634,139886,3,290.3333333333333,253.29341790807663,3207,238,32,73,43.93150684931507,53.721842900059926,871,1,SSL,2,72414.0,67472.0,148616,32,1480,118,1259.457627118644,508.12462844763525,144828,Amazon
204,3791,2040,353,30,547.4,472.3880184763368,25746,236,32,291,88.47422680412372,170.07585286422923,16422,1,SSL,29,2574.2413793103447,7710.447228207803,85533,32,1450,340,251.56764705882352,408.21886950982,74653,Google
197,3251,579,680,13,162.15384615384616,149.23798555113555,5492,229,32,105,52.304761904761904,47.4327842841142,2108,1,SSL,12,8938.5,24203.960483427778,110986,32,1450,116,956.7758620689655,630.5280229246138,107262,Google
287,941,315,28620,12,384.5,152.26922429258863,7750,319,32,98,79.08163265306122,122.34933871112148,4614,1,HTTP,12,8732.583333333334,12410.570537907952,107875,32,973,96,1123.6979166666667,574.5749900250848,104791,
193,4906,751,311,7,327.85714285714283,309.05913838682744,5571,225,32,101,55.15841584158416,49.832935284554544,2295,1,SSL,6,17594.0,20428.539619855357,108552,1480,1480,93,1167.225806451613,545.674390464951,105564,
445,86051,450,8016,5,429.8,39.04561435039792,5093,477,32,92,55.358695652173914,97.86110182535543,2149,1,HTTP,5,20820.8,32723.330059148928,107080,32,1480,93,1151.3978494623657,584.7488596077632,104104,eBay
191,3158,1147,391,10,307.9,325.300614816511,5127,223,32,64,80.109375,138.3240214572631,3079,1,SSL,9,11217.555555555555,15986.950519519984,104286,32,1450,104,1002.75,621.4493721256661,100958,Google
186,3908,691,327,9,227.77777777777777,219.29167678271065,3590,206,20,77,46.62337662337662,72.6042535623889,2050,1,SSL,8,12647.5,19993.325261196547,102984,20,1480,89,1157.123595505618,570.30220296057,101180,
193,5005,777,2249,8,180.25,229.8606915068342,2622,213,20,59,44.440677966101696,62.83075765908715,1442,1,SSL,8,12775.0,29599.4794717745,104020,20,1480,91,1143.076923076923,585.2541521888323,102200,
214,91318,156,324,3,191.33333333333334,25.315783394730033,2782,246,32,69,40.31884057971015,39.37426981282861,574,1,HTTP,3,30619.0,42920.69757898474,94129,32,1480,71,1325.7605633802816,434.6185786034557,91857,HTTP_Download
193,4814,505,163,6,150.83333333333334,167.02037467194103,3017,225,32,66,45.71212121212121,42.923739688356505,905,1,SSL,6,13448.666666666666,27824.478525611623,82804,32,1480,66,1254.6060606060605,506.9878630663681,80692,
461,61627,446,5390,3,453.3333333333333,6.128258770283412,3376,493,32,63,53.58730158730159,96.55060930004859,1360,1,HTTP,3,23058.0,27304.320695938703,71254,32,1480,65,1096.2153846153847,621.2501909563598,69174,eBay
157,31627,96,34628,2,126.5,30.5,1437,189,32,37,38.83783783783784,29.47056572198273,253,1,HTTP,2,33127.5,1500.5,67855,32,1480,50,1357.1,392.41336623514746,66255,
384,65336,0,0,1,384.0,0.0,1920,416,32,48,40.0,54.84523680320835,384,1,HTTP,1,65336.0,0.0,66872,32,1480,48,1393.1666666666667,336.9430795978586,65336,
192,3178,1721,353,6,361.0,610.2911873305507,4058,224,32,58,69.96551724137932,180.01129902441292,2166,1,SSL,5,10354.2,18933.626915094745,53467,32,1450,53,1008.811320754717,614.6753417218695,51771,GMail
188,4125,713,1680,15,255.26666666666668,340.3150435829849,5985,220,32,67,89.32835820895522,125.95206243501087,3829,1,SSL,14,3358.5714285714284,3374.029653402711,49508,32,1450,77,642.961038961039,660.4910892673103,47020,YouTube
